rgn_id,r0_label,r1_label,r2_label,rgn_label,rgn_label_2,year,score_wgi_scale,score,gap_fill
207,World,Asia,South-Eastern Asia,Vietnam,Vietnam,2018,-0.353361833,0.429327633,0
208,World,Asia,South-Eastern Asia,Singapore,Singapore,2018,1.63894735,0.82778947,0
209,World,Asia,Eastern Asia,China,China,2018,-0.306858533,0.438628293,0
210,World,Asia,Eastern Asia,Japan,Japan,2018,1.34104,0.768208,0
212,World,Oceania,Micronesia,Kiribati,Kiribati,2018,0.327124733,0.565424947,0
213,World,Antarctica,Antarctica,Antarctica,abnj,NA,NA,NA,NA
214,World,Africa,Northern Africa,Egypt,Egypt,NA,NA,NA,NA
215,World,Asia,Western Asia,Jordan,Jordan,2018,-0.083611033,0.483277793,0
216,World,Asia,South-Eastern Asia,Indonesia,Indonesia,2018,-0.135259433,0.472948113,0
218,World,Americas,Northern America,Canada,Canada,2018,1.589625933,0.817925187,0
219,World,Americas,Northern America,Saint Pierre and Miquelon,Saint Pierre and Miquelon,NA,NA,NA,NA
220,World,Latin America and the Caribbean,Caribbean,Sint Maarten,Sint Maarten,2018,0.815659318,0.663131864,6
220,World,Latin America and the Caribbean,Caribbean,Sint Maarten,Sint Maarten,NA,NA,NA,NA
221,World,Latin America and the Caribbean,Caribbean,Northern Saint-Martin,Northern Saint-Martin,NA,NA,NA,NA
222,World,Europe,Northern Europe,Sweden,Sweden,2018,1.698549933,0.839709987,0
223,World,Europe,Northern Europe,Norway,Norway,2018,1.764574667,0.852914933,0
224,World,Latin America and the Caribbean,South America,Chile,Chile,2018,1.005884483,0.701176897,0
227,World,Europe,Northern Europe,Jersey,Jersey,2018,1.23300185,0.74660037,0
227,World,Europe,Northern Europe,Jersey,Jersey,NA,NA,NA,NA
228,World,Europe,Northern Europe,Guernsey,Guernsey,2018,1.23300185,0.74660037,0
228,World,Europe,Northern Europe,Guernsey,Guernsey,NA,NA,NA,NA
231,World,Asia,South-Eastern Asia,East Timor,East Timor,NA,NA,NA,NA
232,World,Europe,Southern Europe,Bosnia and Herzegovina,NA,NA,NA,NA,NA
237,World,Asia,South-Eastern Asia,Oecussi Ambeno,Oecussi Ambeno,NA,NA,NA,NA
