iucn_sid,sciname,kingdom,phylum,category,tot_count_cells,num_countries,xbd
20738,Steno bredanensis,ANIMALIA,CHORDATA,LC,2084322,188,transboundary
20795,Stereolepis gigas,ANIMALIA,CHORDATA,CR,2393,2,transboundary
21257,Syngnathus abaster,ANIMALIA,CHORDATA,LC,10748,26,transboundary
21326,Taenioides jacksoni,ANIMALIA,CHORDATA,LR/nt,168,1,singlecountry
21341,Takifugu niphobles,ANIMALIA,CHORDATA,LC,16120,7,transboundary
21342,Takifugu poecilonotus,ANIMALIA,CHORDATA,LC,5236,5,transboundary
21343,Takifugu xanthopterus,ANIMALIA,CHORDATA,LC,13450,6,transboundary
21500,Tasmacetus shepherdi,ANIMALIA,CHORDATA,DD,567485,18,transboundary
21628,Teramulus kieneri,ANIMALIA,CHORDATA,LC,442,1,singlecountry
21689,Thalassoma ascensionis,ANIMALIA,CHORDATA,DD,4,1,singlecountry
21855,Thryssa scratchleyi,ANIMALIA,CHORDATA,DD,6641,4,transboundary
21856,Thunnus alalunga,ANIMALIA,CHORDATA,NT,1985773,147,transboundary
21857,Thunnus albacares,ANIMALIA,CHORDATA,NT,2098726,154,transboundary
21858,Thunnus maccoyii,ANIMALIA,CHORDATA,CR,662278,28,transboundary
21859,Thunnus obesus,ANIMALIA,CHORDATA,VU,2190203,148,transboundary
21860,Thunnus thynnus,ANIMALIA,CHORDATA,EN,319083,83,transboundary
21994,Torquigener brevipinnis,ANIMALIA,CHORDATA,LC,7808,6,transboundary
22003,Totoaba macdonaldi,ANIMALIA,CHORDATA,CR,635,1,singlecountry
22103,Trichechus manatus,ANIMALIA,CHORDATA,VU,9082,27,transboundary
22104,Trichechus senegalensis,ANIMALIA,CHORDATA,VU,3305,18,transboundary
22563,Tursiops truncatus,ANIMALIA,CHORDATA,LC,2530879,206,transboundary
22823,Ursus maritimus,ANIMALIA,CHORDATA,VU,167255,10,transboundary
23148,Xiphias gladius,ANIMALIA,CHORDATA,LC,2674921,196,transboundary
23211,Ziphius cavirostris,ANIMALIA,CHORDATA,LC,2893060,199,transboundary
23259,Zosterisessor ophiocephalus,ANIMALIA,CHORDATA,LC,3962,14,transboundary
31382,Rhizophora apiculata,PLANTAE,TRACHEOPHYTA,LC,29915,27,transboundary
33705,Dolichandrone spathacea,PLANTAE,TRACHEOPHYTA,LC,23187,21,transboundary
34364,Aglaia cucullata,PLANTAE,TRACHEOPHYTA,DD,17834,12,transboundary
39303,Dermatolepis inermis,ANIMALIA,CHORDATA,DD,10270,32,transboundary
39324,Notorynchus cepedianus,ANIMALIA,CHORDATA,DD,39933,23,transboundary
39327,Pristiophorus cirratus,ANIMALIA,CHORDATA,LC,8226,1,singlecountry
39328,Squatina californica,ANIMALIA,CHORDATA,NT,3357,3,transboundary
39329,Squatina argentina,ANIMALIA,CHORDATA,CR,4137,3,transboundary
39331,Squatina occulta,ANIMALIA,CHORDATA,CR,4030,3,transboundary
39332,Squatina squatina,ANIMALIA,CHORDATA,CR,8688,18,transboundary
39333,Heterodontus francisci,ANIMALIA,CHORDATA,DD,4802,2,transboundary
39334,Heterodontus portusjacksoni,ANIMALIA,CHORDATA,LC,6914,2,transboundary
39335,Brachaelurus colcloughi,ANIMALIA,CHORDATA,VU,1483,1,singlecountry
39336,Odontaspis noronhai,ANIMALIA,CHORDATA,LC,43563,11,transboundary
39337,Pseudocarcharias kamoharai,ANIMALIA,CHORDATA,LC,1859118,136,transboundary
39338,Megachasma pelagios,ANIMALIA,CHORDATA,LC,2012406,154,transboundary
39339,Alopias vulpinus,ANIMALIA,CHORDATA,VU,2642757,201,transboundary
39341,Isurus oxyrinchus,ANIMALIA,CHORDATA,EN,2426950,190,transboundary
39342,Lamna ditropis,ANIMALIA,CHORDATA,LC,239606,10,transboundary
39345,Haploblepharus edwardsii,ANIMALIA,CHORDATA,NT,1130,2,transboundary
39346,Haploblepharus fuscus,ANIMALIA,CHORDATA,VU,1347,1,singlecountry
39347,Schroederichthys bivius,ANIMALIA,CHORDATA,DD,15038,6,transboundary
39348,Poroderma africanum,ANIMALIA,CHORDATA,NT,7670,9,transboundary
39349,Scyliorhinus capensis,ANIMALIA,CHORDATA,NT,6140,2,transboundary
39350,Leptocharias smithii,ANIMALIA,CHORDATA,NT,11039,41,transboundary
39351,Furgaleus macki,ANIMALIA,CHORDATA,LC,6211,1,singlecountry
39352,Galeorhinus galeus,ANIMALIA,CHORDATA,VU,113608,70,transboundary
39353,Hemitriakis leucoperiptera,ANIMALIA,CHORDATA,EN,6478,2,transboundary
39354,Hypogaleus hyugaensis,ANIMALIA,CHORDATA,LC,19699,10,transboundary
39355,Mustelus antarcticus,ANIMALIA,CHORDATA,LC,8492,1,singlecountry
39356,Mustelus lenticulatus,ANIMALIA,CHORDATA,LC,8190,2,transboundary
39357,Mustelus asterias,ANIMALIA,CHORDATA,LC,17373,33,transboundary
39358,Mustelus mustelus,ANIMALIA,CHORDATA,VU,36271,33,transboundary
39359,Mustelus canis,ANIMALIA,CHORDATA,NT,23474,43,transboundary
39360,Scylliogaleus quecketti,ANIMALIA,CHORDATA,VU,992,1,singlecountry
39361,Triakis acutipinna,ANIMALIA,CHORDATA,EN,1232,3,transboundary
39362,Triakis megalopterus,ANIMALIA,CHORDATA,NT,2789,3,transboundary
39363,Triakis semifasciata,ANIMALIA,CHORDATA,LC,2027,2,transboundary
39365,Carcharhinus amblyrhynchos,ANIMALIA,CHORDATA,NT,46462,42,transboundary
39366,Carcharhinus amboinensis,ANIMALIA,CHORDATA,DD,66530,39,transboundary
39367,Carcharhinus borneensis,ANIMALIA,CHORDATA,EN,22004,7,transboundary
39368,Carcharhinus brevipinna,ANIMALIA,CHORDATA,NT,83603,116,transboundary
39369,Carcharhinus hemiodon,ANIMALIA,CHORDATA,CR,57623,21,transboundary
39370,Carcharhinus falciformis,ANIMALIA,CHORDATA,VU,1666153,162,transboundary
39371,Carcharhinus leiodon,ANIMALIA,CHORDATA,EN,3407,10,transboundary
39372,Carcharhinus leucas,ANIMALIA,CHORDATA,NT,75869,96,transboundary
39374,Carcharhinus longimanus,ANIMALIA,CHORDATA,VU,1800754,180,transboundary
39375,Carcharhinus melanopterus,ANIMALIA,CHORDATA,NT,79831,70,transboundary
39378,Galeocerdo cuvier,ANIMALIA,CHORDATA,NT,297851,151,transboundary
39379,Glyphis glyphis,ANIMALIA,CHORDATA,EN,51,2,transboundary
