species_id,sciname,kingdom,phylum,class,tot_count_cells,num_countries,xbd
W-Msc-509679,Colpodaspis thompsoni,Animalia,Mollusca,Gastropoda,47081,29,transboundary
W-Msc-509702,Toledonia perplexa,Animalia,Mollusca,Gastropoda,2920,3,transboundary
W-Msc-510362,Noalda exigua,Animalia,Mollusca,Gastropoda,3710,2,transboundary
W-Msc-510429,Bulla punctulata,Animalia,Mollusca,Gastropoda,53542,42,transboundary
W-Msc-510438,Bulla quoyii,Animalia,Mollusca,Gastropoda,6835,4,transboundary
W-Msc-510448,Bulla vernicosa,Animalia,Mollusca,Gastropoda,52254,63,transboundary
W-Msc-510959,Bullina exquisita,Animalia,Mollusca,Gastropoda,13066,21,transboundary
W-Msc-511358,Amphissa acuminata,Animalia,Mollusca,Gastropoda,4884,4,transboundary
W-Msc-511364,Amphissa versicolor,Animalia,Mollusca,Gastropoda,1776,3,transboundary
W-Msc-511482,Mitrella bicincta,Animalia,Mollusca,Gastropoda,3009,6,transboundary
W-Msc-511533,Mitrella mindorensis,Animalia,Mollusca,Gastropoda,13840,18,transboundary
W-Msc-511539,Mitrella nympha,Animalia,Mollusca,Gastropoda,11549,17,transboundary
W-Msc-511543,Mitrella puella,Animalia,Mollusca,Gastropoda,39576,21,transboundary
W-Msc-511614,Zafra hervieri,Animalia,Mollusca,Gastropoda,19796,19,transboundary
W-Msc-511637,Zafra succinea,Animalia,Mollusca,Gastropoda,20630,22,transboundary
W-Msc-511639,Zafra troglodytes,Animalia,Mollusca,Gastropoda,25271,24,transboundary
W-Msc-511641,Zafra vercoi,Animalia,Mollusca,Gastropoda,38953,60,transboundary
W-Msc-511644,Pyrene obtusa,Animalia,Mollusca,Gastropoda,23745,33,transboundary
W-Msc-511653,Zafrona striatula,Animalia,Mollusca,Gastropoda,15352,33,transboundary
W-Msc-511703,Alia carinata,Animalia,Mollusca,Gastropoda,5146,9,transboundary
W-Msc-511776,Euplica deshayesii,Animalia,Mollusca,Gastropoda,26757,23,transboundary
W-Msc-511780,Euplica scripta,Animalia,Mollusca,Gastropoda,62026,41,transboundary
W-Msc-511806,Metanachis marquesa,Animalia,Mollusca,Gastropoda,25576,26,transboundary
W-Msc-511826,Decipifus sixaolus,Animalia,Mollusca,Gastropoda,3337,17,transboundary
W-Msc-511863,Pictocolumbella ocellata,Animalia,Mollusca,Gastropoda,30523,25,transboundary
W-Msc-511956,Gastropteron pacificum,Animalia,Mollusca,Gastropoda,8567,4,transboundary
W-Msc-512320,Olgasolaris tollmanni,Animalia,Mollusca,Gastropoda,18965,19,transboundary
W-Msc-515780,Cancellaria petuchi,Animalia,Mollusca,Gastropoda,1136,1,singlecountry
W-Msc-515781,Cancellaria reticulata,Animalia,Mollusca,Gastropoda,17528,40,transboundary
W-Msc-517285,Persicula pulcherrima,Animalia,Mollusca,Gastropoda,10535,31,transboundary
W-Msc-519471,Trachycardium egmontianum,Animalia,Mollusca,Bivalvia,6569,18,transboundary
W-Msc-519472,Trachycardium isocardia,Animalia,Mollusca,Bivalvia,14812,40,transboundary
W-Msc-523856,Epitonium georgettinum,Animalia,Mollusca,Gastropoda,479,2,transboundary
W-Msc-524008,Nitidiscala tincta,Animalia,Mollusca,Gastropoda,2290,3,transboundary
W-Msc-525583,Tuba valkyrie,Animalia,Mollusca,Gastropoda,17517,27,transboundary
W-Msc-527325,Nembrotha lineolata,Animalia,Mollusca,Gastropoda,45442,48,transboundary
W-Msc-527355,Glossodoris pallida,Animalia,Mollusca,Gastropoda,47717,40,transboundary
W-Msc-527395,Bactronophorus thoracites,Animalia,Mollusca,Bivalvia,14703,16,transboundary
W-Msc-527519,Colubraria tortuosa,Animalia,Mollusca,Gastropoda,30476,27,transboundary
W-Msc-527522,Colubraria muricata,Animalia,Mollusca,Gastropoda,48450,66,transboundary
W-Msc-527532,Paliolla cooki,Animalia,Mollusca,Gastropoda,10250,7,transboundary
W-Msc-527535,Polycera janjukia,Animalia,Mollusca,Gastropoda,2380,2,transboundary
W-Msc-527556,Fissurella picta,Animalia,Mollusca,Gastropoda,85,2,transboundary
W-Msc-527557,Stomatella auricula,Animalia,Mollusca,Gastropoda,48947,67,transboundary
W-Msc-527647,Iravadia quadrasi,Animalia,Mollusca,Gastropoda,364,1,singlecountry
W-Msc-527732,Syrinx aruanus,Animalia,Mollusca,Gastropoda,38670,30,transboundary
W-Msc-527749,Scaphella junonia,Animalia,Mollusca,Gastropoda,13247,25,transboundary
W-Msc-527763,Fimbria soverbii,Animalia,Mollusca,Bivalvia,50538,37,transboundary
W-Msc-527780,Pustularia bistrinotata,Animalia,Mollusca,Gastropoda,50830,30,transboundary
W-Msc-527783,Cypraea eglantina,Animalia,Mollusca,Gastropoda,39637,44,transboundary
W-Msc-527793,Lyncina lynx,Animalia,Mollusca,Gastropoda,86112,85,transboundary
W-Msc-527851,Bankia martensi,Animalia,Mollusca,Bivalvia,7913,11,transboundary
W-Msc-527858,Bankia setacea,Animalia,Mollusca,Bivalvia,8461,8,transboundary
W-Msc-527885,Megathura crenulata,Animalia,Mollusca,Gastropoda,710,2,transboundary
W-Msc-527895,Erosaria eburnea,Animalia,Mollusca,Gastropoda,36925,29,transboundary
W-Msc-528078,Lithopoma tuber,Animalia,Mollusca,Gastropoda,9434,34,transboundary
W-Msc-528084,Megastraea undosa,Animalia,Mollusca,Gastropoda,692,2,transboundary
W-Msc-528088,Turbo canaliculatus,Animalia,Mollusca,Gastropoda,16211,41,transboundary
W-Msc-528089,Turbo castanea,Animalia,Mollusca,Gastropoda,15795,40,transboundary
W-Msc-528731,Margarites pupillus,Animalia,Mollusca,Gastropoda,4180,2,transboundary
W-Msc-529727,Cypraea mariae,Animalia,Mollusca,Gastropoda,22839,22,transboundary
W-Msc-529730,Erronea cylindrica,Animalia,Mollusca,Gastropoda,47986,29,transboundary
W-Msc-529735,Cribrarula gaskoini,Animalia,Mollusca,Gastropoda,1837,9,transboundary
W-Msc-529737,Bistolida kieneri,Animalia,Mollusca,Gastropoda,25502,22,transboundary
W-Msc-529741,Cypraea leviathan,Animalia,Mollusca,Gastropoda,95808,83,transboundary
W-Msc-530879,Bistolida ursellus,Animalia,Mollusca,Gastropoda,63581,33,transboundary
W-Msc-530884,Lyncina vitellus,Animalia,Mollusca,Gastropoda,88589,85,transboundary
W-Msc-530893,Chelycypraea testudinaria,Animalia,Mollusca,Gastropoda,36792,24,transboundary
W-Msc-531059,Roboastra gracilis,Animalia,Mollusca,Gastropoda,41725,48,transboundary
W-Msc-531080,Aegires ortizi,Animalia,Mollusca,Gastropoda,9129,24,transboundary
W-Msc-531168,Tambja verconis,Animalia,Mollusca,Gastropoda,7822,6,transboundary
W-Msc-531173,Tambja morosa,Animalia,Mollusca,Gastropoda,65745,80,transboundary
W-Msc-531242,Polycera parvula,Animalia,Mollusca,Gastropoda,3311,2,transboundary
W-Msc-531251,Crimora multidigitalis,Animalia,Mollusca,Gastropoda,8567,6,transboundary
W-Msc-531258,Triopha catalinae,Animalia,Mollusca,Gastropoda,7091,9,transboundary
W-Msc-531372,Polycera melanosticta,Animalia,Mollusca,Gastropoda,6495,5,transboundary
W-Msc-531503,Pupa tragulata,Animalia,Mollusca,Gastropoda,2849,2,transboundary
W-Msc-531508,Adamnestia arachis,Animalia,Mollusca,Gastropoda,13995,8,transboundary
W-Msc-531512,Cylichna thetidis,Animalia,Mollusca,Gastropoda,11537,6,transboundary
W-Msc-531517,Sphaerocylichna incommoda,Animalia,Mollusca,Gastropoda,9522,9,transboundary
W-Msc-531523,Tornatina apicina,Animalia,Mollusca,Gastropoda,6968,2,transboundary
W-Msc-531530,Tornatina exserta,Animalia,Mollusca,Gastropoda,4899,2,transboundary
W-Msc-531531,Retusa amphizosta,Animalia,Mollusca,Gastropoda,12655,8,transboundary
W-Msc-531533,Retusa atkinsoni,Animalia,Mollusca,Gastropoda,3151,2,transboundary
