species_id,sciname,kingdom,phylum,class,tot_count_cells,num_eez,xbd,category,tax_group,eez_bins_2
154636,Hemerocoetes monopterygius,ANIMALIA,CHORDATA,ACTINOPTERYGII,1033,1,singlecountry,LC,Vertebrate,"[1,2)"
154637,Callionymus leucobranchialis,ANIMALIA,CHORDATA,ACTINOPTERYGII,3189,1,singlecountry,DD,Vertebrate,"[1,2)"
154641,Gobiodon histrio,ANIMALIA,CHORDATA,ACTINOPTERYGII,91969,20,transboundary,LC,Vertebrate,"[10,25)"
154643,Parenchelyurus hepburni,ANIMALIA,CHORDATA,ACTINOPTERYGII,39169,31,transboundary,LC,Vertebrate,"[25,51)"
154647,Coelorinchus occa,ANIMALIA,CHORDATA,ACTINOPTERYGII,8321,17,transboundary,LC,Vertebrate,"[10,25)"
154649,Lophius gastrophysus,ANIMALIA,CHORDATA,ACTINOPTERYGII,33184,18,transboundary,LC,Vertebrate,"[10,25)"
154651,Bathygobius aeolosoma,ANIMALIA,CHORDATA,ACTINOPTERYGII,65,2,transboundary,LC,Vertebrate,"[2,3)"
154657,Bathygobius lineatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,240,2,transboundary,VU,Vertebrate,"[2,3)"
154658,Plectranthias bilaticlavia,ANIMALIA,CHORDATA,ACTINOPTERYGII,14,1,singlecountry,LC,Vertebrate,"[1,2)"
154660,Genyagnus monopterygius,ANIMALIA,CHORDATA,ACTINOPTERYGII,2581,3,transboundary,LC,Vertebrate,"[3,10)"
154666,Stemonosudis bullisi,ANIMALIA,CHORDATA,ACTINOPTERYGII,85,1,singlecountry,DD,Vertebrate,"[1,2)"
154667,Spicara axillaris,ANIMALIA,CHORDATA,ACTINOPTERYGII,1691,2,transboundary,LC,Vertebrate,"[2,3)"
154670,Parupeneus multifasciatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,29901,36,transboundary,LC,Vertebrate,"[25,51)"
154676,Scarus prasiognathos,ANIMALIA,CHORDATA,ACTINOPTERYGII,41750,24,transboundary,LC,Vertebrate,"[10,25)"
154677,Scarus festivus,ANIMALIA,CHORDATA,ACTINOPTERYGII,14912,31,transboundary,LC,Vertebrate,"[25,51)"
