iucn_sid,sciname,category,kingdom,phylum,class
39336,Odontaspis noronhai,LC,ANIMALIA,CHORDATA,CHONDRICHTHYES
39337,Pseudocarcharias kamoharai,LC,ANIMALIA,CHORDATA,CHONDRICHTHYES
39338,Megachasma pelagios,LC,ANIMALIA,CHORDATA,CHONDRICHTHYES
39339,Alopias vulpinus,VU,ANIMALIA,CHORDATA,CHONDRICHTHYES
39341,Isurus oxyrinchus,EN,ANIMALIA,CHORDATA,CHONDRICHTHYES
39342,Lamna ditropis,LC,ANIMALIA,CHORDATA,CHONDRICHTHYES
39345,Haploblepharus edwardsii,NT,ANIMALIA,CHORDATA,CHONDRICHTHYES
39346,Haploblepharus fuscus,VU,ANIMALIA,CHORDATA,CHONDRICHTHYES
39347,Schroederichthys bivius,DD,ANIMALIA,CHORDATA,CHONDRICHTHYES
39348,Poroderma africanum,NT,ANIMALIA,CHORDATA,CHONDRICHTHYES
39349,Scyliorhinus capensis,NT,ANIMALIA,CHORDATA,CHONDRICHTHYES
39350,Leptocharias smithii,NT,ANIMALIA,CHORDATA,CHONDRICHTHYES
39351,Furgaleus macki,LC,ANIMALIA,CHORDATA,CHONDRICHTHYES
39352,Galeorhinus galeus,VU,ANIMALIA,CHORDATA,CHONDRICHTHYES
39353,Hemitriakis leucoperiptera,EN,ANIMALIA,CHORDATA,CHONDRICHTHYES
39354,Hypogaleus hyugaensis,LC,ANIMALIA,CHORDATA,CHONDRICHTHYES
39355,Mustelus antarcticus,LC,ANIMALIA,CHORDATA,CHONDRICHTHYES
39356,Mustelus lenticulatus,LC,ANIMALIA,CHORDATA,CHONDRICHTHYES
39357,Mustelus asterias,LC,ANIMALIA,CHORDATA,CHONDRICHTHYES
39358,Mustelus mustelus,VU,ANIMALIA,CHORDATA,CHONDRICHTHYES
39359,Mustelus canis,NT,ANIMALIA,CHORDATA,CHONDRICHTHYES
39360,Scylliogaleus quecketti,VU,ANIMALIA,CHORDATA,CHONDRICHTHYES
