iucn_spp_group,iucn_sid,class,iucn_sciname,am_sid,am_sciname,am_reviewed,am_sid_old,kingdom,redlist_category,iucn_sid_other
GROUPERS,64410,Actinopterygii,Mycteroperca interstitialis,Fis-23648,Mycteroperca interstitialis,NA,NA,ANIMALIA,VU,64410
GROUPERS,64411,Actinopterygii,Plectropomus areolatus,Fis-31641,Plectropomus areolatus,1,NA,ANIMALIA,VU,64411
GROUPERS,64412,Actinopterygii,Plectropomus laevis,Fis-26517,Plectropomus laevis,1,NA,ANIMALIA,LC,64412
GROUPERS,132722,Actinopterygii,Epinephelus aeneus,Fis-23120,Epinephelus aeneus,NA,NA,ANIMALIA,NT,132722
GROUPERS,132723,Actinopterygii,Epinephelus maculatus,Fis-25572,Epinephelus maculatus,NA,NA,ANIMALIA,LC,132723
GROUPERS,132725,Actinopterygii,Cephalopholis aurantia,Fis-26116,Cephalopholis aurantia,NA,NA,ANIMALIA,LC,132725
GROUPERS,132726,Actinopterygii,Epinephelus flavocaeruleus,Fis-26503,Epinephelus flavocaeruleus,NA,NA,ANIMALIA,LC,132726
GROUPERS,132727,Actinopterygii,Paranthias furcifer,Fis-23713,Paranthias furcifer,NA,NA,ANIMALIA,LC,132727
GROUPERS,132728,Actinopterygii,Epinephelus summana,Fis-26514,Epinephelus summana,NA,NA,ANIMALIA,LC,132728
GROUPERS,132729,Actinopterygii,Mycteroperca phenax,Fis-30327,Mycteroperca phenax,NA,NA,ANIMALIA,DD,132729
GROUPERS,132730,Actinopterygii,Hyporthodus acanthistius,Fis-163774,Hyporthodus acanthistius,NA,NA,ANIMALIA,VU,132730
GROUPERS,132732,Actinopterygii,Cephalopholis miniata,Fis-26123,Cephalopholis miniata,NA,NA,ANIMALIA,LC,132732
GROUPERS,132733,Actinopterygii,Cephalopholis panamensis,Fis-27163,Cephalopholis panamensis,NA,NA,ANIMALIA,LC,132733
GROUPERS,132734,Actinopterygii,Hyporthodus niphobles,Fis-163780,Hyporthodus niphobles,NA,NA,ANIMALIA,LC,132734
GROUPERS,132735,Actinopterygii,Epinephelus latifasciatus,Fis-115487,Epinephelus latifasciatus,NA,NA,ANIMALIA,LC,132735
GROUPERS,132736,Actinopterygii,Epinephelus rivulatus,Fis-25944,Epinephelus rivulatus,NA,NA,ANIMALIA,LC,132736
GROUPERS,132737,Actinopterygii,Cephalopholis leopardus,Fis-26121,Cephalopholis leopardus,NA,NA,ANIMALIA,LC,132737
