kingdom,phylum,class_iucn,iucn_sid,iucn_sciname,iucn_sid_other,redlist_category,am_sid,am_sciname,class_am,am_sid_old
ANIMALIA,Chordata,Actinopterygii,179056,Enneapterygius ziegleri,NA,LC,Fis-114257,Enneapterygius ziegleri,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,178990,Forsterygion flavonigrum,NA,LC,Fis-114270,Forsterygion flavonigrum,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,60469546,Bembrops cadenati,NA,LC,Fis-114346,Bembrops cadenati,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,190072,Bembrops macromma,NA,LC,Fis-114368,Bembrops macromma,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,179000,Helcogramma novaecaledoniae,NA,LC,Fis-114576,Helcogramma novaecaledoniae,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,179055,Lepidoblennius haplodactylus,NA,LC,Fis-114639,Lepidoblennius haplodactylus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,178947,Lepidoblennius marmoratus,NA,LC,Fis-114644,Lepidoblennius marmoratus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,179043,Norfolkia thomasi,NA,LC,Fis-114650,Norfolkia thomasi,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,178960,Trianectes bucephalus,NA,LC,Fis-114690,Trianectes bucephalus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,179024,Trinorfolkia clarkei,NA,LC,Fis-114698,Trinorfolkia clarkei,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,178939,Trinorfolkia cristata,NA,LC,Fis-114718,Trinorfolkia cristata,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,179084,Trinorfolkia incisa,NA,LC,Fis-114720,Trinorfolkia incisa,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,178892,Ucla xenogrammus,NA,LC,Fis-114721,Ucla xenogrammus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,186020,Lipogramma rosea,NA,LC,Fis-114945,Lipogramma rosea,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,186026,Lipogramma trilineata,NA,LC,Fis-114946,Lipogramma trilineata,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,47144922,Starksia occidentalis,NA,LC,Fis-114960,Starksia occidentalis,Actinopterygii,NA
